Article Index,Addresses,
11,E Street Cinema;,
17,Madison Avenue in;,
21,Rolling Hills Avenue.;,
27,Broad Street.;,
34,"37th Street NW,;",
46,"830 McKee Street.;College Avenue,",
79,Wisconsin Avenue NW last;,
88,"University Drive,;",
89,"University Drive,;",
107,14th Street and;,
116,Swann Street NW; Swann Street that,
128,18th Street Lounge;,
137,Lone Oak Drive in;,
144,16th Street NW at;,
145,16th Street NW at;,
153,Coverstone Drive area;,
183,Irving Street NW has; 15th Street.,
204,New York Avenue when;,
230,812 Seventh St. NW); Fourth Street and; Constitution Avenue NW),
234,Valerio Street in; Cherry Street in,
237,U Street to;,
238,"Coverstone Drive,;",
239,"Pennsylvania Avenue NW,; Kenyon Street NW",
240,Prospect Street NW.;,
245,K Street address;,
249,"1300 Pennsylvania Ave. NW; 144 Constitution Ave. NE.; 529 14th St. NW; 5015 Connecticut Ave. NW; 1041 Wisconsin Ave. NW.; 101 Independence Ave. SE; 6053 Oxon Hill Rd.; 3500 East-West Hwy.; 4801 Bethesda Ave.; 7346 Baltimore Ave.; 638 N. Alfred St.; 8940 Jones Mill Rd.; 4433 S. Park Ave.;  3040 M St. NW,; 2700 F St. NW.; 201 East Capitol St. SE.; 11301 Rockville Pike,; 812 Seventh St. NW,; 445 11th St. NW,; 1515 U St. NW,",
251,"23rd Street,; F Street and; Virginia Avenue,; Florida Avenue.;",
256,345 Oakland Dr.; ,
263,H Street NE neighborhood; H Street corridor,
266,"Pennsylvania Avenue at; 11th Street NW,; Pennsylvania Avenue and; 11th Street.;",
283,14th Street NW.; Maple Street NW-; Maple Street?,
285,"12th Avenue,; ",
291,Georgia Avenue in;,
302,4020 University Dr.;,
307,South Hayes Street and;,
315,"1452 Ross Lane,; Ross Lane House; Connecticut Avenue NW.;",
321,"8500 Springfield Rd.; 2854 Hunter Mill Rd.; 1400 Quincy St. NE.; 6301 River Rd.; 10185 Main St.; 15812 Good Hope Rd.; 9900 Stoneybrook Dr.; 16620 Georgia Ave.; 5607 Massachusetts Ave.; 8900 Little River Tpk.; 3401 Nebraska Ave. NW.; 5312 Connecticut Ave. NW.; 3801 Harewood Rd. NE.; 15300 New Hampshire Ave.; 1317 G St. NW.; 9801 Livingston Rd.; 620 Michigan Ave. NE.; 509 I St. NE.; 6037 Franconia Rd.; 1529 16th St. NW.; 8410 Little River Turnpike; 755 Eighth St. NW.; 5 Thomas Cir. NW.; 620 Michigan Ave. NE.; 10401 Armory Ave.; 1400 Quincy St. NE.; 8900 Little River Tpk.; 3737 Seminary Rd.; 1150 15th St. NW, ",
322,"10401 Armory Ave.; 125 Michigan Ave. NE.; 89 Chain Bridge Rd.; 1400 Quincy St. NE.; 8900 Little River Tpk.; 7701 Bradley Blvd.; 3737 Seminary Rd.; 1725 Rhode Island Ave. NW.; 3410 Woodburn Rd.; 1525 H St. NW.; 6045 16th St. NW.; 1125 Spa Rd.; 11508 North Shore Dr.; 6037 Franconia Rd.; 3240 O St. NW.; 5312 Connecticut Ave. NW.; 7400 Temple Hills Rd.; 4201 Butterworth Pl. NW.; 15300 New Hampshire Ave.; 1317 G St. NW.; 400 Michigan Ave. NE.; 9801 Livingston Rd.; 8070 Harriet Tubman Lane; 509 I St. NE.; 037 Franconia Rd.; 901 G St. NW.; 3115 P St. NW.; 6037 Franconia Rd.; 3001 Wisconsin Ave. NW.; 5 Thomas Cir. NW.; 8070 Harriet Tubman Lane; 4444 Old Branch Ave.; 8710 Old Branch Ave.; 2709 Hunter Mill Rd.; 1317 G St. NW.; 1400 Quincy St. NE.; 4444 Old Branch Ave.; 1150 15th St. NW,4000 Lorcom Lane,; Fairfax Drive and; North Nelson Street,;",
323,"10401 Armory Ave.; 125 Michigan Ave. NE.; 89 Chain Bridge Rd.; 1400 Quincy St. NE.; 8900 Little River Tpk.; 7701 Bradley Blvd.; 3737 Seminary Rd.; 1725 Rhode Island Ave. NW.; 3410 Woodburn Rd.; 1525 H St. NW.; 6045 16th St. NW.; 1125 Spa Rd.; 11508 North Shore Dr.; 6037 Franconia Rd.; 3240 O St. NW.; 5312 Connecticut Ave. NW.; 7400 Temple Hills Rd.; 4201 Butterworth Pl. NW.; 15300 New Hampshire Ave.; 1317 G St. NW.; 400 Michigan Ave. NE.; 9801 Livingston Rd.; 8070 Harriet Tubman Lane; 509 I St. NE.; 037 Franconia Rd.; 901 G St. NW.; 3115 P St. NW.; 6037 Franconia Rd.; 3001 Wisconsin Ave. NW.; 5 Thomas Cir. NW.; 8070 Harriet Tubman Lane; 4444 Old Branch Ave.; 8710 Old Branch Ave.; 2709 Hunter Mill Rd.; 1317 G St. NW.; 1400 Quincy St. NE.; 4444 Old Branch Ave.; 1150 15th St. NW,4000 Lorcom Lane,; Fairfax Drive and; North Nelson Street,;",
324,"741 Eighth St. SE,; East Capitol Street",
325,U Street at;,
330,2700 F St. NW.; 2700 F St. NW.; 1017 Seventh St. NW.; 3701 Mount Vernon Ave.; 1073 Wisconsin Ave. NW.; 815 V St. NW.; 8230 Georgia Ave.; 3550 Wilson Blvd.; 1250 New York Ave. NW.; 1201 17th St. NW.; 401 F St. NW.; 1730 Connecticut Ave. NW.; 801 Mount Vernon Pl. NW.; 2700 F St. NW.; 2700 F St. NW.; 3806 S. Four Mile Run Dr.; 4400 University Dr.; 14900 Pennsylvania Ave.; 1 W. Pratt St.; 601 F St. NW.,
350,E Street Cinema;,
357,"Sixth Street and; Pennsylvania Avenue,; Pennsylvania Avenue.; Pennsylvania Avenue toward;",
365,Hawaii Avenue;,
369,"1212 H St. NE.; 815 V St. NW.; 1811 14th St. NW.; 815 V St. NW.; 3701 Mount Vernon Ave.; 7235 Woodmont Ave.; 600 I St. NW.; 7800 Cellar Door Dr.; 3550 Wilson Blvd.; 4728 Hampden Lane,; 600 N. Charles St.; 600 I St. NW.; 6710 Oxon Hill Rd.; 8633 Colesville Rd.; 7235 Woodmont Ave.; 7235 Woodmont Ave.; 555 11th St. NW.; 555 11th St. NW.; 8633 Colesville Rd.; 1835 14th St. NW.; 4200 S. Campbell Ave.; 2001 Olney-Sandy Spring Rd.; 1611 N. Kent St.; 10901 Little Patuxent Pkwy.,; 1215 U St. NW.; 601 F St. NW.",
372,18th Street after;,